,team_code,gameweek,minutes,total_points,was_home,opponent_team,appearances,id,element_type,target,target_minutes,target_home,target_team,bayes_global,total_points_mean3,minutes_mean3,appearances_mean3,total_points_mean5,minutes_mean5,appearances_mean5,total_points_mean10,minutes_mean10,appearances_mean10,total_points_std10,total_points_ewma,minutes_ewma,appearances_ewma,total_points_mean_all,minutes_sum_all,total_points_sum_all,was_home_sum_all,opponent_team_sum_all,appearances_sum_all
57,3,21,990.0,75.0,0.0,512.0,14.0,3640,88,46.0,964.0,32.0,96.0,111.19204596300611,62.0,990.0,14.0,54.600000000000016,990.0000000000001,14.000000000000002,50.19999999999999,990.0000000000001,14.000000000000002,50.6982860978714,51.59204740758915,991.5163375317984,13.955599401340221,66.76548546053189,20640.0,1066.0,311.0,7057.0,289.0
58,3,22,964.0,46.0,32.0,96.0,14.0,3640,88,28.0,990.0,32.0,576.0,111.08016262667083,54.666666666666664,981.3333333333336,13.999999999999998,58.39999999999999,984.8000000000003,14.0,51.5,987.3999999999997,14.000000000000002,50.59394091896084,51.13570285437766,989.2572573385319,13.956988240885673,66.91974144799727,21604.0,1112.0,343.0,7153.0,303.0
59,3,23,990.0,28.0,32.0,576.0,14.0,3640,88,30.0,990.0,0.0,128.0,110.63369617581185,49.66666666666666,981.3333333333335,13.999999999999998,52.0,984.8000000000001,14.000000000000002,49.4,987.3999999999997,14.000000000000002,49.62632531005324,49.18345879915317,989.5240907501653,13.9639341982017,65.77340406561028,22594.0,1140.0,375.0,7729.0,317.0
60,3,24,990.0,30.0,0.0,128.0,14.0,3640,88,68.0,990.0,32.0,224.0,110.21662470944761,34.66666666666667,981.3333333333334,14.0,44.4,984.7999999999998,14.0,45.8,987.4,14.0,43.852586000434044,47.582440211814806,989.6172557225802,13.964939653774142,64.91571641808484,23584.0,1170.0,375.0,7857.0,331.0
61,3,25,990.0,68.0,32.0,224.0,14.0,3640,88,25.0,990.0,0.0,288.0,110.525199684753,41.99999999999999,990.0000000000001,13.999999999999998,49.4,984.8,14.000000000000002,47.2,987.4000000000002,14.0,45.32870344359308,49.276901299910755,989.730902324101,13.970433489754514,66.33953293083727,24574.0,1238.0,407.0,8081.0,345.0
62,3,26,990.0,25.0,0.0,288.0,14.0,3640,88,31.0,990.0,0.0,608.0,110.07408047027404,40.99999999999999,990.0,14.0,39.400000000000006,984.7999999999998,14.000000000000002,47.00000000000001,987.4,14.0,46.18337076304961,47.32322019539802,989.8513246366784,13.974996855833686,66.01992608713434,25564.0,1263.0,407.0,8369.0,359.0
63,3,27,990.0,31.0,0.0,608.0,14.0,3640,88,37.0,990.0,32.0,320.0,109.67167794987665,41.33333333333333,990.0000000000001,13.999999999999998,36.4,989.9999999999999,14.000000000000002,47.400000000000006,987.4,14.0,45.68451609527617,46.022163921851785,989.8860305036259,13.975328370922973,65.51716118020465,26554.0,1294.0,407.0,8977.0,373.0
64,3,28,990.0,37.0,32.0,320.0,14.0,3640,88,68.0,900.0,32.0,640.0,109.40571583898995,30.999999999999996,989.9999999999999,14.0,38.20000000000001,990.0,14.000000000000002,45.099999999999994,987.3999999999997,13.999999999999998,47.51776538840843,45.34376892863541,989.9140528814642,13.975891703638561,65.87255425012546,27544.0,1331.0,439.0,9297.0,387.0
65,3,29,900.0,68.0,32.0,640.0,13.0,3640,88,16.0,900.0,0.0,160.0,109.81797846084874,45.333333333333336,960.0,13.666666666666668,45.800000000000004,972.0,13.800000000000002,45.099999999999994,978.3999999999999,13.899999999999999,49.67843725774044,47.09826682075208,982.9772839446722,13.899292289040728,67.19891492565404,28444.0,1399.0,471.0,9937.0,400.0
66,3,30,900.0,16.0,0.0,160.0,13.0,3640,88,43.0,990.0,0.0,384.0,109.26867813897094,40.33333333333333,930.0,13.333333333333334,35.400000000000006,953.9999999999999,13.599999999999998,42.400000000000006,969.4000000000002,13.8,46.7772573986066,44.707290024448774,976.6401238613287,13.829516059133786,66.08606947353452,29344.0,1415.0,471.0,10097.0,413.0
67,3,31,990.0,43.0,0.0,384.0,13.0,3640,88,62.0,990.0,32.0,256.0,109.22234519160263,42.33333333333332,930.0,12.999999999999998,38.99999999999999,954.0,13.400000000000002,39.2,969.4,13.7,45.53327581573671,44.56869163208655,977.4494206842634,13.763448973523305,66.27315371447725,30334.0,1458.0,471.0,10481.0,426.0
68,3,32,990.0,62.0,32.0,256.0,14.0,3640,88,20.0,990.0,0.0,544.0,109.45867745743215,40.333333333333336,960.0,13.333333333333332,45.199999999999996,954.0,13.399999999999999,40.80000000000001,972.0,13.700000000000001,49.30274697156247,45.87082133509484,978.2209653512494,13.778542905188148,67.36819379545186,31324.0,1520.0,503.0,10737.0,440.0
69,3,33,990.0,20.0,0.0,544.0,14.0,3640,88,72.0,990.0,32.0,352.0,108.9347801144059,41.66666666666667,990.0000000000001,13.666666666666666,41.79999999999999,954.0,13.4,40.0,971.9999999999999,13.7,47.51989515243392,43.936017505055595,978.953922825445,13.792784232342377,66.22852398909542,32314.0,1540.0,503.0,11281.0,454.0
70,3,34,990.0,72.0,32.0,352.0,14.0,3640,88,71.0,990.0,0.0,416.0,109.3925763284039,51.33333333333333,990.0,13.999999999999998,42.6,972.0,13.6,44.2,972.0,13.7,53.05106407329074,46.00651352251889,979.6482439623267,13.806195532756568,68.46327929464499,33304.0,1612.0,535.0,11633.0,468.0
71,3,35,990.0,71.0,0.0,416.0,14.0,3640,88,60.0,990.0,0.0,448.0,109.81507496967133,54.33333333333333,989.9999999999999,13.999999999999998,53.6,990.0,13.800000000000002,44.50000000000001,972.0000000000001,13.7,51.48421945642013,47.851313578604,980.4560122816639,13.82048976381322,70.08802611313085,34294.0,1683.0,535.0,12049.0,482.0
72,3,36,990.0,60.0,0.0,448.0,14.0,3640,88,70.0,990.0,32.0,480.0,109.95441481530315,67.66666666666667,989.9999999999998,13.999999999999998,57.00000000000001,990.0,14.0,48.0,972.0000000000001,13.699999999999998,53.76742509213454,48.73462500157105,981.1928399815329,13.833640898264377,70.2246869963581,35284.0,1743.0,535.0,12497.0,496.0
73,3,37,990.0,70.0,32.0,480.0,14.0,3640,88,,,,,110.27725091243305,67.0,990.0,14.0,58.60000000000001,989.9999999999999,13.999999999999998,51.9,972.0,13.699999999999998,54.66436253034472,50.28024365650886,981.8660826625442,13.845752691416088,71.13850459759036,36274.0,1813.0,567.0,12977.0,510.0
74,6,1,990.0,34.0,0.0,150.0,13.0,10034,65,59.0,990.0,25.0,125.0,86.58064516129033,,,,,,,,,,,34.0,990.0,13.0,17.0,990.0,34.0,0.0,150.0,13.0
75,6,2,990.0,59.0,26.0,130.0,13.0,10563,66,34.0,991.0,26.0,234.0,90.0725806451613,,,,,,,,,,,46.93304362080463,990.0,13.000000000000002,31.499999999999996,1980.0,93.0,26.0,280.0,26.0
76,6,3,991.0,34.0,26.0,234.0,14.0,10563,66,84.0,977.0,0.0,364.0,89.6000427663734,42.33333333333333,990.3333333333333,13.333333333333332,,,,,,,,42.320003428544226,990.356686355317,13.356686355316986,32.66666666666667,2971.0,127.0,52.0,514.0,40.0
77,6,4,990.0,84.0,0.0,406.0,14.0,12264,73,59.0,990.0,29.0,435.0,100.58215815651772,59.00000000000001,986.0,13.333333333333334,,,,,,,,53.847074107109755,999.6627448890498,14.258040741928557,52.583333333333336,3961.0,211.0,52.0,920.0,54.0
78,6,5,990.0,59.0,29.0,435.0,14.0,12264,73,40.0,990.0,0.0,348.0,100.78526875559608,58.00000000000001,956.0,13.333333333333334,53.39999999999999,969.5999999999999,13.200000000000001,,,,,55.891283604119046,1019.6819779760917,14.199042392227659,55.68333333333333,4951.0,270.0,81.0,1355.0,68.0
79,6,6,990.0,40.0,0.0,348.0,14.0,12264,73,63.0,990.0,29.0,290.0,100.50336144721818,61.00000000000001,990.0,14.000000000000002,54.00000000000001,955.5999999999999,13.000000000000002,,,,,52.99506431693161,1016.5843030211473,14.31973399228089,56.73571428571427,5941.0,310.0,81.0,1703.0,82.0
80,6,7,990.0,63.0,29.0,290.0,14.0,12264,73,36.0,990.0,0.0,551.0,100.82755130604988,54.00000000000001,989.9999999999999,14.000000000000002,54.0,940.4000000000001,12.8,,,,,54.9356323800803,1013.6979225842781,14.329887484433018,59.56666666666666,6931.0,373.0,110.0,1993.0,96.0
81,6,8,990.0,36.0,0.0,551.0,14.0,12264,73,43.0,990.0,0.0,58.0,100.51615955900012,46.333333333333336,990.0,14.0,56.4,990.0000000000001,14.0,,,,,51.98485319027321,1009.9930794012591,14.239863692235526,57.74166666666666,7921.0,409.0,110.0,2544.0,110.0
82,6,9,990.0,43.0,0.0,58.0,13.0,12264,73,29.0,990.0,29.0,232.0,100.45421704738655,47.33333333333335,990.0,13.666666666666666,48.2,990.0,13.799999999999999,,,,,50.59946866034452,1004.7578239910428,14.039302001981314,57.761904761904766,8911.0,452.0,110.0,2602.0,123.0
83,6,10,990.0,29.0,29.0,232.0,13.0,12264,73,33.0,990.0,0.0,29.0,100.03501966166436,36.00000000000001,989.9999999999998,13.333333333333334,42.199999999999996,989.9999999999999,13.600000000000001,46.599999999999994,956.0999999999999,12.700000000000001,47.05649401070676,47.65179695778331,1000.8912495026575,13.886767956060291,56.374098124098126,9901.0,481.0,139.0,2834.0,136.0
84,6,11,990.0,33.0,0.0,29.0,14.0,12264,73,43.0,990.0,29.0,580.0,99.60391923127719,35.0,989.9999999999999,13.333333333333334,40.8,990.0000000000001,13.6,46.5,956.1,12.8,48.95795213314281,45.74506856201155,998.0370261957632,13.86048313762657,56.41298701298701,10891.0,514.0,139.0,2863.0,150.0
85,6,12,990.0,43.0,29.0,580.0,14.0,12264,73,32.0,990.0,0.0,116.0,99.4603429055055,35.00000000000001,989.9999999999999,13.666666666666666,36.8,990.0000000000002,13.600000000000001,44.9,956.1000000000001,12.9,48.182007392713686,45.37355440035542,996.0709897888331,13.849440250259386,57.19579032079033,11881.0,557.0,168.0,3443.0,164.0
86,6,13,990.0,32.0,0.0,116.0,14.0,12264,73,91.0,990.0,29.0,464.0,99.03816169615676,36.00000000000001,990.0,14.0,36.0,990.0,13.600000000000001,46.2,990.0000000000001,13.8,47.91405104172407,43.85426942437518,995.0536127157474,13.868147347767314,56.73500388500389,12871.0,589.0,168.0,3559.0,178.0
87,6,14,990.0,91.0,29.0,464.0,14.0,12264,73,22.0,990.0,0.0,319.0,99.95088738073086,55.333333333333336,990.0,14.0,45.6,990.0000000000001,13.8,46.900000000000006,989.9999999999999,13.8,47.376849397790835,48.982727635299,994.3031074249207,13.883616865990675,60.70863858363858,13861.0,680.0,197.0,4023.0,192.0
88,6,15,990.0,22.0,0.0,319.0,14.0,12264,73,81.0,990.0,29.0,203.0,99.32956444330463,48.33333333333332,990.0,14.0,44.199999999999996,990.0,14.0,43.199999999999996,990.0,13.799999999999999,45.8387161541258,46.19083650747069,994.0348893756105,13.911591754133408,58.658904983904975,14851.0,702.0,197.0,4342.0,206.0
89,6,16,990.0,81.0,29.0,203.0,14.0,12264,73,47.0,990.0,29.0,87.0,99.97754044384315,64.66666666666667,990.0000000000001,14.0,53.800000000000004,990.0000000000001,14.0,47.3,990.0,13.799999999999997,49.37864951547871,49.684732733819416,994.3045031762729,13.919604803132012,60.9681436210848,15841.0,783.0,226.0,4545.0,220.0
90,6,17,990.0,47.0,29.0,87.0,14.0,12264,73,55.0,990.0,0.0,377.0,99.91541724042246,50.0,990.0,14.0,54.600000000000016,990.0,14.0,45.699999999999996,990.0000000000001,13.8,48.23030119145449,49.43675255225379,993.783084276292,13.926752741484218,60.87770946373888,16831.0,830.0,255.0,4632.0,234.0
91,6,18,990.0,55.0,0.0,377.0,14.0,12264,73,63.0,990.0,0.0,522.0,100.02807655021714,61.0,989.9999999999999,14.0,59.20000000000001,990.0,13.999999999999998,47.6,990.0,13.8,48.43053274828503,49.987814932194624,993.7802402605903,13.933144936298275,61.26697095903752,17821.0,885.0,255.0,5009.0,248.0
92,6,19,990.0,63.0,0.0,522.0,14.0,12264,73,69.0,991.0,29.0,116.0,100.2687692142013,55.0,989.9999999999999,13.999999999999998,53.60000000000001,990.0,14.0,49.6,990.0,13.9,52.59610979544095,51.15819612688302,993.0942363553455,13.930421955148262,64.57430198800168,18811.0,948.0,255.0,5531.0,262.0
93,6,20,991.0,69.0,29.0,116.0,14.0,12264,73,80.0,990.0,29.0,551.0,100.6338183960118,62.33333333333333,990.3333333333334,13.999999999999998,63.000000000000014,990.2000000000002,14.000000000000002,53.60000000000001,990.1,13.999999999999998,52.33394485380057,52.742904800651424,992.6745535169403,13.937074508015304,65.48930820641347,19802.0,1017.0,284.0,5647.0,276.0
94,6,21,990.0,80.0,29.0,551.0,14.0,12264,73,35.0,990.0,0.0,290.0,101.20871452896051,70.66666666666666,990.3333333333333,14.0,62.800000000000004,990.2,14.0,58.30000000000001,990.1,14.0,52.372232527425325,55.1102217742005,992.2216528096156,13.936316456721606,67.01628985050036,20792.0,1097.0,313.0,6198.0,290.0
95,6,22,990.0,35.0,0.0,290.0,14.0,12264,73,42.0,990.0,0.0,435.0,100.86515260962906,61.33333333333333,990.3333333333333,13.999999999999998,60.39999999999999,990.2000000000002,14.0,57.50000000000001,990.1000000000001,13.999999999999998,48.426685671134955,53.38401362746182,991.9310328086755,13.942604239742925,66.10013018382584,21782.0,1132.0,313.0,6488.0,304.0
96,6,23,990.0,42.0,0.0,435.0,14.0,12264,73,60.0,991.0,29.0,348.0,100.69322171270983,52.333333333333336,990.0,13.999999999999998,57.8,990.2000000000002,14.0,58.5,990.1000000000001,14.0,50.785786751270116,52.42346513549313,991.7134643544035,13.948106886650788,66.24816451197356,22772.0,1174.0,313.0,6923.0,318.0
97,6,24,991.0,60.0,29.0,348.0,14.0,12264,73,18.0,990.0,0.0,261.0,100.90350431961913,45.666666666666664,990.3333333333333,13.999999999999998,57.199999999999996,990.4,14.000000000000002,55.4,990.2,14.0,50.55691695396335,53.046220567562855,991.5715705076286,13.952949760935786,67.11783726638147,23763.0,1234.0,342.0,7271.0,332.0
98,6,25,990.0,18.0,0.0,261.0,14.0,12264,73,76.0,990.0,29.0,406.0,100.29703977855412,40.00000000000001,990.3333333333334,14.0,47.0,990.1999999999999,14.000000000000002,55.0,990.2000000000002,14.0,50.51233600365164,50.19265604867278,991.3925661180496,13.957233555258078,65.67434458774947,24753.0,1252.0,342.0,7532.0,346.0
99,6,26,990.0,76.0,29.0,406.0,14.0,12264,73,48.0,990.0,29.0,174.0,100.75262888678245,51.33333333333332,990.3333333333335,14.0,46.199999999999996,990.1999999999999,14.000000000000002,54.5,990.2,13.999999999999998,48.05674893468015,52.256229632150635,991.1849373852494,13.957203604175884,67.01260935544215,25743.0,1328.0,371.0,7938.0,360.0
100,6,27,990.0,48.0,29.0,174.0,14.0,12264,73,38.0,990.0,29.0,377.0,100.73082809899618,47.33333333333332,990.0000000000001,13.999999999999998,48.8,990.1999999999999,14.000000000000004,54.60000000000001,990.2000000000002,13.999999999999998,48.028799487580834,51.917839225615424,991.0254708054458,13.96119521426418,67.11891835683596,26733.0,1376.0,400.0,8112.0,374.0
101,6,28,990.0,38.0,29.0,377.0,14.0,12264,73,66.0,989.0,0.0,87.0,100.51680104781157,54.0,990.0000000000001,13.999999999999998,47.99999999999999,990.2,14.000000000000002,52.9,990.2,14.000000000000002,46.8340933976686,50.825117257159455,990.8779865409476,13.961580239721656,66.45913322193088,27723.0,1414.0,429.0,8489.0,388.0
102,6,29,989.0,66.0,0.0,87.0,14.0,12264,73,53.0,991.0,0.0,464.0,100.85546234437619,50.66666666666667,989.6666666666666,13.999999999999998,49.2,989.8,14.0,53.20000000000001,990.0999999999999,14.000000000000002,46.95894676390773,51.99771363309496,990.8027051780808,13.965204869302859,67.8648186405655,28712.0,1480.0,429.0,8576.0,402.0
103,6,30,991.0,53.0,0.0,464.0,14.0,12264,73,85.0,990.0,29.0,522.0,100.85368488014448,52.333333333333336,989.9999999999999,13.999999999999998,56.20000000000001,989.9999999999999,14.000000000000002,51.6,990.0999999999998,13.999999999999998,47.799340624404216,52.07895735817731,990.9496122281932,13.971029422765202,67.75353193943306,29703.0,1533.0,429.0,9040.0,416.0
104,6,31,990.0,85.0,29.0,522.0,14.0,12264,73,85.0,990.0,29.0,58.0,101.46339130735694,68.0,990.0,14.000000000000004,58.0,989.9999999999999,13.999999999999998,52.1,990.0999999999999,14.000000000000002,50.19251663013276,54.57369220554482,990.8548147664261,13.973497581247997,69.84795877105297,30693.0,1618.0,458.0,9562.0,430.0
105,6,32,990.0,85.0,29.0,58.0,14.0,12264,73,58.0,991.0,0.0,145.0,102.05476690972361,74.33333333333331,990.3333333333331,14.0,65.4,990.0000000000001,13.999999999999998,57.099999999999994,990.0999999999999,14.000000000000002,51.77222584733863,56.859240783713204,990.7517087229829,13.975718348889135,71.12250578539582,31683.0,1703.0,487.0,9620.0,444.0
106,6,33,991.0,58.0,0.0,145.0,14.0,12264,73,68.0,991.0,29.0,29.0,102.14660294175879,76.0,990.3333333333331,13.999999999999998,69.4,990.2000000000002,13.999999999999996,58.70000000000001,990.2,14.0,50.30367082266151,56.94358314976934,990.813328458333,13.977721937117577,71.07634175570836,32674.0,1761.0,487.0,9765.0,458.0
107,6,34,991.0,68.0,29.0,29.0,14.0,12264,73,24.0,990.0,0.0,580.0,102.44269007010371,70.33333333333333,990.6666666666665,14.000000000000002,69.80000000000001,990.6,13.999999999999998,59.50000000000001,990.2,13.999999999999998,49.77743398316696,57.760900378763836,990.7829749983247,13.979534080736787,71.8818974035053,33665.0,1829.0,516.0,9794.0,472.0
108,6,35,990.0,24.0,0.0,580.0,14.0,12264,73,45.0,991.0,29.0,319.0,101.9538675722682,50.0,990.6666666666667,14.0,64.0,990.4000000000001,14.0,60.10000000000001,990.2000000000002,13.999999999999998,49.0078077507101,55.27864838712704,990.6862886549999,13.97949273598796,70.57116659494005,34655.0,1853.0,516.0,10374.0,486.0
