web_name,Unnamed: 0,Unnamed: 1,minutes,total_points,was_home,opponent_team,appearances,target_home,gameweek,total_points_mean3,minutes_mean3,appearances_mean3,total_points_mean10,minutes_mean10,appearances_mean10,total_points_mean5,minutes_mean5,appearances_mean5,total_points_mean_all,minutes_sum_all,total_points_sum_all,was_home_sum_all,opponent_team_sum_all,appearances_sum_all,opponent_1,opponent_2,opponent_3,opponent_4,opponent_5,opponent_6,opponent_7,opponent_8,opponent_9,opponent_10,opponent_11,opponent_12,opponent_13,opponent_14,opponent_15,opponent_16,opponent_17,opponent_18,opponent_19,opponent_20,opponent_999,team_1,team_3,team_6,team_8,team_11,team_13,team_14,team_20,team_21,team_25,team_31,team_35,team_43,team_56,team_57,team_80,team_88,team_90,team_91,team_110,position_1,position_2,position_3,position_4,target
Lloris,379.0,34.0,90.0,8.0,1.0,1.0,1.0,0.0,34.0,6.666666666666668,90.0,1.0,4.8,81.0,0.9,5.2,72.0,0.8,4.258064516129032,2644.0,132.0,18.0,340.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
Alderweireld,381.0,34.0,90.0,6.0,1.0,1.0,1.0,0.0,34.0,6.0,90.0,1.0,3.7,85.8,1.0,5.2,90.0,1.0,3.9259259259259265,2241.0,106.0,18.0,340.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
Walker,383.0,34.0,3.0,1.0,1.0,1.0,1.0,0.0,34.0,4.0,61.0,1.0,2.3,62.0,0.8,2.8,54.6,0.8,4.375,2614.0,140.0,18.0,340.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Vertonghen,384.0,34.0,90.0,8.0,1.0,1.0,1.0,0.0,34.0,7.333333333333332,90.0,1.0,4.6,78.5,0.9,6.0,90.0,1.0,3.933333333333333,2558.0,118.0,18.0,340.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
Davies,385.0,34.0,90.0,6.0,1.0,1.0,1.0,0.0,34.0,7.0,90.0,1.0,4.9,88.8,1.0,5.8,87.6,1.0,3.45,1379.0,69.0,18.0,340.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
Dier,389.0,34.0,90.0,3.0,1.0,1.0,1.0,0.0,34.0,3.0,90.0,1.0,3.7,90.0,1.0,3.8,90.0,1.0,2.575757575757576,2701.0,85.0,18.0,340.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
Eriksen,393.0,34.0,90.0,6.0,1.0,1.0,1.0,0.0,34.0,8.0,88.66666666666669,1.0,7.0,86.4,1.0,8.6,89.2,1.0,5.852941176470589,2889.0,199.0,18.0,340.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
Carroll,396.0,34.0,90.0,10.0,1.0,14.0,1.0,0.0,34.0,4.0,53.0,1.0,3.2,77.4,1.0,3.4,67.8,1.0,2.8,1029.0,42.0,17.0,353.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
Alli,397.0,34.0,90.0,8.0,1.0,1.0,1.0,0.0,34.0,5.666666666666668,87.66666666666669,1.0,7.2,89.3,1.0,7.4,88.6,1.0,6.029411764705883,2694.0,205.0,18.0,340.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
Wanyama,399.0,34.0,90.0,3.0,1.0,1.0,1.0,0.0,34.0,1.3333333333333333,49.0,1.0,1.2,55.0,0.8,0.8,29.4,0.6,2.303030303030303,2670.0,76.0,18.0,340.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
Son,401.0,34.0,78.0,3.0,1.0,1.0,1.0,0.0,34.0,4.666666666666667,71.0,1.0,5.0,56.8,0.9,8.0,78.0,1.0,4.774193548387096,1735.0,148.0,18.0,340.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
