,team_code,element_type,gameweek,minutes,total_points,was_home,opponent_team,appearances,id,target,target_minutes,target_home,target_team,total_points_mean3,minutes_mean3,appearances_mean3,total_points_mean5,minutes_mean5,appearances_mean5,total_points_mean10,minutes_mean10,appearances_mean10,total_points_std10,total_points_ewma,minutes_ewma,appearances_ewma,total_points_mean_all,minutes_mean_all,appearances_mean_all,minutes_sum_all,total_points_sum_all,was_home_sum_all,opponent_team_sum_all,appearances_sum_all
555,8,4,1,96.0,9.0,2.0,40.0,2.0,193,11.0,108.0,0.0,36.0,,,,,,,,,,,4.5,48.0,1.0,4.5,48.0,1.0,96.0,9.0,2.0,40.0,2.0
556,8,4,2,108.0,11.0,0.0,36.0,2.0,193,6.0,90.0,2.0,6.0,,,,,,,,,,,3.3679768229977034,34.207860937986226,0.6666666666666667,6.666666666666667,68.0,1.3333333333333333,204.0,20.0,2.0,76.0,4.0
557,8,4,3,90.0,6.0,2.0,6.0,2.0,193,13.0,93.0,0.0,32.0,2.1666666666666665,24.499999999999993,0.5,,,,,,,,2.0955412083325777,24.35348351379931,0.5,6.5,73.5,1.5,294.0,26.0,4.0,82.0,6.0
558,8,4,4,93.0,13.0,0.0,32.0,2.0,193,6.0,90.0,2.0,18.0,2.1999999999999993,19.599999999999998,0.3999999999999999,,,,,,,,2.0136437027831056,19.11119819463181,0.3999999999999999,7.800000000000001,77.39999999999999,1.6,387.0,39.0,4.0,114.0,8.0
559,8,4,5,90.0,6.0,2.0,18.0,1.0,193,2.0,110.0,0.0,2.0,0.43333333333333357,10.233333333333324,0.033333333333333215,1.0999999999999996,14.633333333333326,0.16666666666666663,,,,5.559570215997608,1.0416934707002743,14.25581333103362,0.13802699814008057,7.9,80.76666666666667,1.6333333333333333,477.0,45.0,6.0,132.0,9.0
560,8,4,6,110.0,2.0,0.0,2.0,2.0,193,12.0,90.0,0.0,14.0,-0.023809523809523725,12.42857142857143,-0.023809523809523836,0.5761904761904766,12.961904761904762,0.10952380952380958,,,,6.349789828494455,0.5516242863875369,12.732250648511531,0.1258848540389631,7.023809523809524,85.23809523809524,1.6904761904761905,587.0,47.0,6.0,134.0,11.0
561,8,4,7,90.0,12.0,0.0,14.0,1.0,193,9.0,90.0,2.0,16.0,-1.2500000000000002,9.625,-0.375,-0.11666666666666625,7.558333333333331,-0.10833333333333339,,,,5.312174257333804,0.4295229697774161,9.540251458713689,-0.034181717808365986,7.916666666666666,87.04166666666667,1.7083333333333335,677.0,59.0,6.0,148.0,12.0
562,8,4,8,90.0,9.0,3.0,24.0,1.0,783,3.0,90.0,3.0,33.0,-0.6111111111111109,8.222222222222229,-0.38888888888888884,0.12222222222222268,6.155555555555562,-0.3222222222222222,,,,5.184531805253017,0.17127486711125983,7.101950328212092,-0.15413387394767386,8.277777777777777,88.44444444444444,1.7222222222222223,767.0,68.0,9.0,172.0,13.0
563,8,4,9,90.0,3.0,3.0,33.0,2.0,783,8.0,90.0,0.0,39.0,0.30000000000000004,1.2571428571428678,-0.42380952380952375,-1.3000000000000003,5.257142857142869,-0.3571428571428571,,,,5.184531805253017,-0.03719239305986721,6.003247074229678,-0.1267338790024971,7.7,88.74285714285713,1.7571428571428571,857.0,71.0,12.0,205.0,15.0
564,8,4,10,90.0,8.0,0.0,39.0,2.0,783,10.0,101.0,3.0,18.0,-1.0265151515151518,1.4204545454545467,-0.11742424242424243,-0.8931818181818181,5.420454545454547,-0.18409090909090908,0.206818181818182,6.120454545454552,-0.0840909090909091,5.206048437046011,0.01478732043784281,5.5308939599956615,-0.10418112077296005,7.693181818181818,88.57954545454545,1.7840909090909092,947.0,79.0,12.0,244.0,17.0
565,8,4,11,101.0,10.0,3.0,18.0,2.0,783,9.0,90.0,0.0,36.0,-0.8611111111111107,4.0000000000000036,0.19444444444444453,0.5388888888888892,2.5333333333333377,-0.2055555555555555,0.13888888888888906,5.533333333333343,-0.10555555555555551,4.249073662169515,0.1345716097926657,5.308604103248126,-0.08546554845919896,7.861111111111111,89.66666666666666,1.8055555555555554,1048.0,89.0,15.0,262.0,19.0
566,8,4,12,90.0,9.0,0.0,36.0,1.0,783,5.0,90.0,3.0,51.0,0.9145299145299153,3.2564102564102475,-0.14529914529914534,-0.2854700854700849,1.789743589743586,-0.211965811965812,-0.2854700854700849,2.9897435897435916,-0.211965811965812,3.5808727351257854,0.029308048726815805,3.9750295601123415,-0.17726656612426894,8.085470085470085,90.41025641025641,1.811965811965812,1138.0,98.0,15.0,298.0,20.0
567,8,4,13,90.0,5.0,3.0,51.0,1.0,783,13.0,85.0,0.0,30.0,0.00793650793650813,2.619047619047624,-0.4841269841269842,-0.9920634920634916,1.152380952380958,-0.21746031746031746,-0.2920634920634919,2.3523809523809582,-0.31746031746031744,3.5142019523434307,-0.22851717350457312,2.8431687957229093,-0.2543316807910587,7.992063492063492,91.04761904761904,1.8174603174603174,1228.0,103.0,18.0,349.0,21.0
568,8,4,14,85.0,13.0,0.0,30.0,2.0,783,8.0,90.0,3.0,57.0,0.6999999999999997,-2.033333333333326,-0.5,0.7000000000000006,0.8333333333333455,-0.2333333333333334,-0.5999999999999994,2.233333333333346,-0.33333333333333337,3.1554035195862262,0.02816730064968731,2.565471359632145,-0.22309901155406087,8.299999999999999,90.36666666666666,1.8333333333333335,1313.0,116.0,18.0,379.0,23.0
569,8,4,15,90.0,8.0,3.0,57.0,1.0,783,2.0,90.0,0.0,45.0,0.27916666666666723,-2.541666666666666,-0.5041666666666667,0.6124999999999998,0.3249999999999975,-0.4375,-0.4874999999999996,1.7250000000000059,-0.3375,3.057702637107393,-0.0933283643908015,1.75339057188397,-0.2904813659457004,8.3875,90.875,1.8375,1403.0,124.0,21.0,436.0,24.0
570,8,4,16,90.0,2.0,0.0,45.0,1.0,783,7.0,90.0,0.0,15.0,-0.4450980392156869,-2.990196078431376,-0.5078431372549019,-0.7117647058823531,-2.3235294117647136,-0.6411764705882352,-0.21176470588235308,-0.7235294117647042,-0.4411764705882353,4.281271498036119,-0.44658480934172884,1.0421997564474,-0.34882272682548043,8.111764705882353,91.32352941176471,1.8411764705882354,1493.0,126.0,21.0,481.0,25.0
571,8,4,17,90.0,7.0,0.0,15.0,2.0,783,1.0,1.0,3.0,6.0,-2.3585858585858595,-1.0202020202020279,-0.5202020202020201,-1.025252525252526,-2.020202020202018,-0.45353535353535346,-0.6252525252525254,-0.42020202020202113,-0.3535353535353535,4.2625576817065065,-0.42442428067363314,1.1166588661208579,-0.31207027106415275,8.025252525252526,91.02020202020202,1.8535353535353534,1583.0,133.0,21.0,496.0,27.0
572,8,4,18,1.0,1.0,3.0,6.0,1.0,783,6.0,90.0,3.0,42.0,-4.638888888888889,-30.11111111111111,-0.5277777777777778,-1.772222222222223,-19.24444444444444,-0.461111111111111,-1.3722222222222227,-8.744444444444444,-0.36111111111111105,5.322657112030493,-0.9915145765192669,-6.869515888191609,-0.3705144407195933,7.972222222222222,90.44444444444444,1.8611111111111112,1584.0,134.0,24.0,502.0,28.0
573,8,4,19,90.0,6.0,3.0,42.0,1.0,783,3.0,96.0,0.0,51.0,-3.2850877192982453,-30.47368421052631,-0.5307017543859649,-3.1517543859649115,-18.607017543859655,-0.6640350877192981,-1.0517543859649117,-9.107017543859648,-0.46403508771929813,3.834057902536159,-1.0607598227293975,-6.644336901837223,-0.41831717374609934,7.951754385964912,90.80701754385964,1.8640350877192982,1674.0,140.0,27.0,544.0,29.0
574,8,4,20,96.0,3.0,0.0,51.0,2.0,783,1.0,7.0,0.0,24.0,-4.355128205128206,-28.697435897435895,-0.5397435897435898,-3.888461538461539,-17.630769230769232,-0.47307692307692306,-1.2884615384615385,-8.730769230769225,-0.47307692307692306,3.2310041305049086,-1.1448913296879297,-5.811142101243869,-0.37786752490912057,7.688461538461539,91.03076923076922,1.873076923076923,1770.0,143.0,27.0,595.0,31.0
575,8,4,21,7.0,1.0,0.0,24.0,1.0,783,7.0,90.0,3.0,21.0,-4.316666666666667,-26.680952380952377,-0.5452380952380953,-4.050000000000001,-34.21428571428571,-0.47857142857142854,-2.1500000000000004,-18.114285714285707,-0.5785714285714285,3.4803637731205734,-1.5906036503684438,-12.62633876588553,-0.4266134796257982,7.65,91.0142857142857,1.8785714285714286,1777.0,144.0,27.0,619.0,32.0
576,8,4,22,90.0,7.0,3.0,21.0,2.0,783,1.0,91.0,0.0,27.0,-3.942857142857143,-26.571428571428566,-0.21904761904761905,-4.0095238095238095,-34.104761904761894,-0.48571428571428565,-2.3095238095238098,-18.0047619047619,-0.48571428571428565,3.4803637731205734,-1.4696156460556598,-11.522870851227912,-0.3868461854293208,7.60952380952381,90.9047619047619,1.8857142857142857,1867.0,151.0,30.0,640.0,34.0
